id,filename,yes,homeowner,rep_share,iBlackShare,iLatinoShare,iBAshare,logpop,logincome_revised,iLogTaxPerCap,IDcity,year
217,2010-Colusa-Williams-A-Impartial.txt,38.8,0.5721,-0.0653,0.0105,0.7595,0.0865,3.7095,4.6778,2.7264,469,2010
228,2000-ContraCosta-Clayton-P-Impartial.txt,26.5,0.9444,0.047,0.0105,0.0633,0.5176,4.0319,5.0312,2.0745,78,2000
231,2010-ContraCosta-Concord-Q-Impartial.txt,54.3,0.6285,-0.149,0.0327,0.3057,0.304,5.0866,4.8767,2.6251,90,2010
232,2002-ContraCosta-Danville-M-Impartial.txt,67.1,0.8856,0.035,0.0089,0.051,0.6041,4.629,5.1106,2.3973,106,2002
233,2004-ContraCosta-ElCerrito-K-Impartial.txt,65.6,0.6171,-0.3608,0.0801,0.0921,0.565,4.3674,4.9315,2.6874,125,2004
235,2010-ContraCosta-ElCerrito-R-Impartial.txt,58.5,0.6214,-0.3454,0.0753,0.1113,0.5726,4.372,4.978,2.8127,125,2010
236,2004-ContraCosta-Hercules-L-Impartial.txt,76.6,0.8163,-0.2704,0.1837,0.1232,0.3754,4.331,4.958,2.236,176,2004
238,2006-ContraCosta-Lafayette-P-Impartial.txt,60.6,0.7709,-0.1365,0.006,0.0507,0.6999,4.3718,5.2321,2.4706,212,2006
239,2007-ContraCosta-Lafayette-C-Impartial.txt,63.5,0.7714,-0.1435,0.0061,0.0525,0.7033,4.3706,5.2471,2.5231,212,2007
243,2004-ContraCosta-Pinole-P-Impartial.txt,62.3,0.7613,-0.2137,0.1177,0.1696,0.296,4.2798,4.8978,2.5842,319,2004
246,1997-ContraCosta-Pinole-G-Impartial.txt,47.1,0.7596,-0.1775,0.0971,0.1257,0.2544,4.2668,4.7783,2.4372,319,1997
247,1998-ContraCosta-Pinole-T-Impartial.txt,58.5,0.7565,-0.1778,0.1011,0.1297,0.2616,4.2716,4.7968,2.3686,319,1998
248,2006-ContraCosta-Pinole-S-Impartial.txt,59.6,0.7768,-0.2053,0.1219,0.1857,0.306,4.2662,4.9491,2.7023,319,2006
249,2010-ContraCosta-Pinole-S-Impartial.txt,44.8,0.7696,-0.2156,0.1303,0.2178,0.326,4.2646,4.9261,2.7444,319,2010
253,1997-ContraCosta-Pittsburg-A-Impartial.txt,33.9,0.6213,-0.1077,0.1801,0.2967,0.1461,4.7199,4.6819,2.1657,321,1997
254,2010-ContraCosta-PleasantHill-T-Impartial.txt,44,0.6467,-0.1718,0.0198,0.1209,0.4836,4.5205,5.0293,2.6926,324,2010
255,2006-ContraCosta-Richmond-T-Impartial.txt,42.3,0.5417,-0.3643,0.2977,0.3429,0.2503,5.0032,4.8356,2.9883,346,2006
257,2008-ContraCosta-Richmond-T-Impartial.txt,74,0.5429,-0.3517,0.2784,0.3687,0.2592,5.0099,4.8549,3.0052,346,2008
258,2010-ContraCosta-Richmond-V-Impartial.txt,78.4,0.5396,-0.367,0.2591,0.3946,0.2681,5.0158,4.8002,2.995,346,2010
260,1996-ContraCosta-SanPablo-J-Impartial.txt,78.2,0.4789,-0.2641,0.1907,0.375,0.1091,4.4449,4.5286,2.3067,383,1996
262,2004-ContraCosta-SanPablo-T-Impartial.txt,52.9,0.4876,-0.3419,0.1683,0.4939,0.1123,4.475,4.6747,2.4229,383,2004
263,2004-ContraCosta-SanRamon-U-Impartial.txt,48.6,0.7239,-0.0466,0.0221,0.0781,0.5496,4.7093,5.0893,2.5796,385,2004
264,2002-ContraCosta-WalnutCreek-Q-Impartial.txt,69.6,0.6848,-0.09,0.0114,0.0652,0.5484,4.8142,4.9427,2.681,455,2002
301,2006-DelNorte-CrescentCity-D-Impartial.txt,32.7,0.2858,-0.0207,0.0718,0.2279,0.1188,3.8846,4.4709,2.5348,99,2006
311,2005-ElDorado-SouthLakeTahoe-R-Impartial.txt,45.6,0.4402,-0.1306,0.0063,0.289,0.2019,4.3526,4.6782,2.9321,418,2005
313,2002-ElDorado-SouthLakeTahoe-Z-Impartial.txt,56.1,0.4331,-0.1074,0.0062,0.2756,0.1926,4.3704,4.6249,2.8137,418,2002
314,2004-ElDorado-SouthLakeTahoe-Q-Impartial.txt,58.1,0.4376,-0.1192,0.0063,0.2845,0.1988,4.3596,4.659,2.879,418,2004
329,1996-Fresno-Colvis-B-Impartial.txt,52.4,0.5625,0.1486,0.0171,0.1868,0.2193,4.8051,4.6327,2.2935,81,1996
331,2009-Fresno-Clovis-A-Impartial.txt,32,0.621,0.1381,0.024,0.251,0.2933,4.9714,4.8683,2.5869,81,2009
332,2004-Fresno-Coalinga-C-Impartial.txt,34.9,0.5528,0.1502,0.0287,0.5129,0.1057,4.2131,4.6288,1.9323,83,2004
333,2004-Fresno-Coalinga-D-Impartial.txt,23.4,0.5528,0.1502,0.0287,0.5129,0.1057,4.2131,4.6288,1.9323,83,2004
334,2004-Fresno-Coalinga-E-Impartial.txt,46.3,0.5528,0.1502,0.0287,0.5129,0.1057,4.2131,4.6288,1.9323,83,2004
335,1996-Fresno-Fowler-D-Impartial.txt,50.2,0.5631,-0.0029,0.0213,0.6373,0.1131,3.5873,4.4842,2.3443,150,1996
336,1998-Fresno-Fowler-D-Impartial.txt,28.8,0.5701,-0.0226,0.0191,0.6551,0.109,3.5956,4.5216,2.2292,150,1998
337,2002-Fresno-Fowler-I-Impartial.txt,52.3,0.5859,-0.0088,0.0166,0.6706,0.1233,3.6223,4.65,2.3161,150,2002
338,1999-Fresno-Fowler-C-Impartial.txt,52.6,0.5746,-0.0324,0.018,0.6639,0.107,3.5992,4.5443,2.2383,150,1999
339,2006-Fresno-Fowler-G-Impartial.txt,65.9,0.5921,0.0104,0.0161,0.6663,0.1598,3.6726,4.7454,2.6992,150,2006
342,1998-Fresno-Fresno-E-Impartial.txt,36.9,0.4974,0.0172,0.0799,0.3787,0.1903,5.6176,4.5205,2.3509,152,1998
343,2000-Fresno-FresnoCity-C-Impartial.txt,29.8,0.506,0.0054,0.0803,0.3987,0.1901,5.6312,4.555,2.3819,152,2000
344,2008-Fresno-Kerman-T-Impartial.txt,51.5,0.6021,-0.035,0.003,0.7035,0.117,4.1086,4.7461,2.3303,200,2008
345,2004-Fresno-Kerman-T-Impartial.txt,49.7,0.5929,-0.0025,0.0029,0.6764,0.1023,4.0149,4.6638,2.0067,200,2004
347,2008-Fresno-Kingsburg-A-Impartial.txt,50,0.6049,0.2141,0.0032,0.412,0.2013,4.0457,4.8108,2.4383,202,2008
348,2000-Fresno-Kingsburg-E-Impartial.txt,35.3,0.6758,0.1947,0.0027,0.3442,0.2095,3.9652,4.6506,2.147,202,2000
349,1998-Fresno-Mendota-H-Impartial.txt,51.3,0.4531,-0.2928,0.0058,0.945,0.0078,3.8802,4.3205,1.7376,257,1998
350,1997-Fresno-OrangeCove-H-Impartial.txt,58.3,0.4854,-0.2329,0.0014,0.8922,0.0171,3.8824,4.2856,1.7191,298,1997
351,1998-Fresno-Parlier-D-Impartial.txt,52.7,0.5623,-0.3261,0.0007,0.9699,0.0234,4.0244,4.3349,1.4778,312,1998
